Date,Open,High,Low,Close,Volume,close_time,volumes,orders,buy,buy,other
2019-07-25,9763.4,10175.0,9720.03,9879.87,37873.354728,1564099199999,378938450.08176742,368176,19308.01142600,193241603.01232005,0
2019-07-26,9882.15,9889.98,9637.0,9824.0,27167.463217,1564185599999,265108103.13392133,299935,14006.62943400,136688126.95394775,0
2019-07-27,9824.0,10188.66,9333.0,9476.52,43809.778301,1564271999999,424932724.96873150,401418,21428.05231800,208090741.11042415,0
2019-07-28,9478.92,9594.99,9165.0,9541.54,29401.022937,1564358399999,278537286.13481345,271327,17116.43313200,162267204.15845968,0
2019-07-29,9541.54,9729.0,9395.0,9507.64,29021.937411,1564444799999,277497756.76841674,294468,16075.16697100,153791418.10329246,0
2019-07-30,9509.07,9714.28,9402.0,9574.21,32536.368834,1564531199999,310867928.28793913,283961,17211.00965300,164621319.04418956,0
2019-07-31,9575.0,10109.8,9555.0,10080.53,39515.35456,1564617599999,389690761.44466112,364212,21235.60960400,209506872.50921800,0
2019-08-01,10080.53,10467.86,9863.46,10374.99,41727.637028,1564703999999,422156523.66900791,378062,22244.91946700,225207082.39426738,0
2019-08-02,10375.0,10670.0,10281.35,10523.75,42990.444221,1564790399999,450323284.15075973,431322,22206.13509300,232638457.60696326,0
2019-08-03,10523.75,10904.77,10497.93,10816.86,33802.318824,1564876799999,363852799.87178007,348893,18132.52970700,195125820.47946514,0
2019-08-04,10816.86,11040.0,10552.0,10929.23,39924.745141,1564963199999,431793873.42329756,353721,22066.36825700,238959952.23516081,0
2019-08-05,10929.99,11937.52,10927.8,11828.8,65153.673713,1565049599999,757976547.21704611,622610,33530.07066000,389969213.39891764,0
2019-08-06,11830.0,12330.7,11226.7,11481.69,76705.389875,1565135999999,904119081.61571263,625827,37522.11697200,442937542.04071641,0
2019-08-07,11481.69,12141.17,11382.84,11975.03,69173.390353,1565222399999,814597979.05050404,592916,36357.22591800,428496665.57006503,0
2019-08-08,11975.04,12060.0,11521.0,11999.77,51207.257174,1565308799999,604389131.06283610,473584,27463.20076300,324785966.12659640,0
2019-08-09,11994.17,12045.68,11700.0,11879.99,39427.152588,1565395199999,467011047.94142844,410902,20074.42191100,238009297.57960402,0
2019-08-10,11879.98,11985.0,11270.0,11309.31,42633.087048,1565481599999,492217964.49055574,399237,17111.12507600,197997879.10911432,0
2019-08-11,11309.24,11600.0,11112.11,11549.97,26772.90691,1565567999999,304862403.35144906,306234,15007.43820000,171032610.99181714,0
2019-08-12,11539.08,11577.89,11235.32,11396.08,17568.227075,1565654399999,200325471.60414099,255966,9200.43087900,104948602.15277771,0
2019-08-13,11398.35,11456.16,10788.45,10892.71,33234.72968,1565740799999,368994475.54611235,337834,13483.55870000,149693332.12683108,0
2019-08-14,10893.36,10897.48,9928.1,10050.37,54451.847499,1565827199999,567724729.10590593,534507,26080.63138100,271971667.55098168,0
2019-08-15,10055.16,10460.0,9911.0,10293.93,38174.45112,1565913599999,387705855.08791121,373368,19588.08291800,199059445.60425642,0
2019-08-16,10296.77,10536.03,9750.0,10331.54,51758.142918,1565999999999,527258446.39777652,504740,25818.03153700,263301246.89849174,0
2019-08-17,10331.15,10465.14,10000.0,10216.02,29000.581201,1566086399999,297776329.03058246,332795,14672.94974000,150792759.34523310,0
2019-08-18,10216.05,10500.0,10080.0,10306.78,24085.395172,1566172799999,248508872.45998642,265705,12961.47855700,133774771.71696787,0
